Timestamps,Port1,Port2,Port3
01/01/2021 00:00,20.1,14.6,17.4
01/01/2021 01:00,20.1,14.6,17.4
01/01/2021 02:00,20.1,14.6,17.4
01/01/2021 03:00,20.1,14.6,17.4
01/01/2021 04:00,20.1,14.6,17.4
01/01/2021 05:00,20.1,14.6,17.4
01/01/2021 06:00,20.1,14.6,17.4
01/01/2021 07:00,20.1,14.6,17.4
01/01/2021 08:00,20.1,14.6,17.4
01/01/2021 09:00,20.1,14.6,17.4
01/01/2021 10:00,20.1,14.6,17.4
01/01/2021 11:00,20.1,14.6,17.4
01/01/2021 12:00,20.1,14.6,17.4
01/01/2021 13:00,20.1,14.6,17.4
01/01/2021 14:00,20.1,14.6,17.4
01/01/2021 15:00,20.1,14.6,17.4
01/01/2021 16:00,20.1,14.6,17.4
01/01/2021 17:00,20,14.6,17.4
01/01/2021 18:00,20,14.6,17.4
01/01/2021 19:00,20,14.6,17.4
01/01/2021 20:00,20,14.6,17.4
01/01/2021 21:00,20,14.6,17.4
01/01/2021 22:00,20,14.6,17.4
01/01/2021 23:00,20,14.6,17.4
02/01/2021 00:00,20,14.6,17.4
02/01/2021 01:00,20,14.6,17.4
02/01/2021 02:00,20,14.6,17.4
02/01/2021 03:00,20,14.6,17.4
02/01/2021 04:00,20,14.6,17.4
02/01/2021 05:00,20,14.6,17.4
02/01/2021 06:00,20,14.6,17.4
02/01/2021 07:00,20,14.6,17.4
02/01/2021 08:00,20,14.6,17.4
02/01/2021 09:00,20,14.6,17.4
02/01/2021 10:00,20,14.6,17.4
02/01/2021 11:00,20,14.6,17.4
02/01/2021 12:00,20,14.6,17.4
02/01/2021 13:00,20,14.6,17.4
02/01/2021 14:00,20,14.6,17.4
02/01/2021 15:00,20,14.6,17.4
02/01/2021 16:00,20,14.6,17.4
02/01/2021 17:00,20,14.6,17.4
02/01/2021 18:00,19.9,14.6,17.4
02/01/2021 19:00,19.9,14.6,17.4
02/01/2021 20:00,19.9,14.6,17.4
02/01/2021 21:00,19.9,14.6,17.4
02/01/2021 22:00,19.9,14.5,17.4
02/01/2021 23:00,19.9,14.5,17.4
03/01/2021 00:00,19.9,14.5,17.4
03/01/2021 01:00,19.9,14.5,17.4
03/01/2021 02:00,19.9,14.5,17.3
03/01/2021 03:00,19.9,14.5,17.3
03/01/2021 04:00,19.9,14.5,17.4
03/01/2021 05:00,19.9,14.5,17.3
03/01/2021 06:00,19.9,14.5,17.4
03/01/2021 07:00,19.9,14.5,17.3
03/01/2021 08:00,19.9,14.5,17.3
03/01/2021 09:00,19.8,14.5,17.4
03/01/2021 10:00,19.9,14.5,17.4
03/01/2021 11:00,19.9,14.5,17.4
03/01/2021 12:00,19.8,14.5,17.4
03/01/2021 13:00,19.8,14.5,17.4
03/01/2021 14:00,19.8,14.5,17.4
03/01/2021 15:00,19.8,14.5,17.4
