Timestamps,Port1,Port2,Port3
01/01/2021 00:00,17.1,13.1,15.8
01/01/2021 01:00,17.1,13.1,15.8
01/01/2021 02:00,17.1,13.1,15.8
01/01/2021 03:00,17.1,13.1,15.8
01/01/2021 04:00,17.1,13.1,15.8
01/01/2021 05:00,17.1,13.1,15.8
01/01/2021 06:00,17.0,13.1,15.8
01/01/2021 07:00,17.0,13.1,15.8
01/01/2021 08:00,17.0,13.1,15.8
01/01/2021 09:00,17.0,13.1,15.8
01/01/2021 10:00,17.0,13.1,15.8
01/01/2021 11:00,17.0,13.1,15.8
01/01/2021 12:00,17.0,13.1,15.8
01/01/2021 13:00,17.0,13.1,15.8
01/01/2021 14:00,17.0,13.1,15.8
01/01/2021 15:00,17.0,13.1,15.8
01/01/2021 16:00,17.0,13.1,15.8
01/01/2021 17:00,17.0,13.1,15.8
01/01/2021 18:00,17.0,13.0,15.8
01/01/2021 19:00,17.0,13.0,15.8
01/01/2021 20:00,17.0,13.0,15.8
01/01/2021 21:00,17.0,13.0,15.8
01/01/2021 22:00,17.0,13.0,15.8
01/01/2021 23:00,17.0,13.0,15.8
02/01/2021 00:00,17.0,13.0,15.8
02/01/2021 01:00,17.0,13.0,15.8
02/01/2021 02:00,17.0,13.0,15.8
02/01/2021 03:00,17.0,13.0,15.8
02/01/2021 04:00,17.0,13.0,15.8
02/01/2021 05:00,17.0,13.0,15.8
02/01/2021 06:00,17.0,13.0,15.8
02/01/2021 07:00,17.0,13.0,15.8
02/01/2021 08:00,16.9,13.0,15.8
02/01/2021 09:00,16.9,13.0,15.8
02/01/2021 10:00,16.9,13.0,15.8
02/01/2021 11:00,16.9,13.0,15.8
02/01/2021 12:00,16.9,13.0,15.8
02/01/2021 13:00,16.9,12.9,15.8
02/01/2021 14:00,16.9,12.9,15.8
02/01/2021 15:00,16.9,12.9,15.8
02/01/2021 16:00,16.9,12.9,15.8
02/01/2021 17:00,16.9,12.9,15.8
02/01/2021 18:00,16.9,12.9,15.8
02/01/2021 19:00,16.9,12.9,15.8
02/01/2021 20:00,16.9,12.9,15.8
02/01/2021 21:00,16.9,12.9,15.8
02/01/2021 22:00,16.9,12.9,15.8
02/01/2021 23:00,16.9,12.9,15.8
03/01/2021 00:00,16.9,12.9,15.8
03/01/2021 01:00,16.9,12.9,15.8
03/01/2021 02:00,16.9,12.9,15.8
03/01/2021 03:00,16.9,12.9,15.8
03/01/2021 04:00,16.9,12.9,15.8
03/01/2021 05:00,16.9,12.9,15.8
03/01/2021 06:00,16.9,12.9,15.8
03/01/2021 07:00,16.9,12.9,15.9
03/01/2021 08:00,16.9,12.9,15.9
03/01/2021 09:00,16.9,12.9,15.9
03/01/2021 10:00,16.8,12.9,15.9
03/01/2021 11:00,16.8,12.9,15.9
03/01/2021 12:00,16.8,12.8,15.9
03/01/2021 13:00,16.8,12.8,15.9
03/01/2021 14:00,16.8,12.8,15.9
03/01/2021 15:00,16.8,12.8,15.8
03/01/2021 16:00,16.8,12.8,15.8
03/01/2021 17:00,16.8,12.8,15.8
03/01/2021 18:00,16.8,12.8,15.9
03/01/2021 19:00,16.8,12.8,15.8
03/01/2021 20:00,16.8,12.8,15.8
03/01/2021 21:00,16.8,12.8,15.8
03/01/2021 22:00,16.8,12.8,15.8
03/01/2021 23:00,16.7,12.8,15.8
04/01/2021 00:00,16.7,12.8,15.9
04/01/2021 01:00,16.7,12.8,15.9
04/01/2021 02:00,16.7,12.8,15.8
04/01/2021 03:00,16.7,12.8,15.7
04/01/2021 04:00,16.7,12.8,15.7
04/01/2021 05:00,16.7,12.8,15.7
04/01/2021 06:00,16.7,12.8,15.7
04/01/2021 07:00,16.7,12.8,15.7
04/01/2021 08:00,16.7,12.8,15.7
04/01/2021 09:00,16.7,12.8,15.7
04/01/2021 10:00,16.7,12.8,15.7
04/01/2021 11:00,16.7,12.8,15.7
04/01/2021 12:00,16.7,12.8,15.7
04/01/2021 13:00,16.7,12.8,15.7
04/01/2021 14:00,16.7,12.8,15.7
04/01/2021 15:00,16.7,12.8,15.7
04/01/2021 16:00,16.7,12.8,15.7
04/01/2021 17:00,16.7,12.8,15.7
04/01/2021 18:00,16.7,12.8,15.7
04/01/2021 19:00,16.7,12.8,15.7
04/01/2021 20:00,16.7,12.8,15.7
04/01/2021 21:00,16.7,12.8,15.7
04/01/2021 22:00,16.7,12.8,15.7
