Timestamps,Port1,Port2,Port3
01/01/2021 00:00,18.3,15.4,18.0
01/01/2021 01:00,18.3,15.4,18.0
01/01/2021 02:00,18.3,15.4,18.0
01/01/2021 03:00,18.3,15.4,18.0
01/01/2021 04:00,18.3,15.4,18.0
01/01/2021 05:00,18.3,15.4,18.0
01/01/2021 06:00,18.3,15.4,18.0
01/01/2021 07:00,18.3,15.4,18.0
01/01/2021 08:00,18.3,15.4,18.0
01/01/2021 09:00,18.3,15.4,18.0
01/01/2021 10:00,18.3,15.4,18.0
01/01/2021 11:00,18.3,15.4,18.0
01/01/2021 12:00,18.3,15.4,18.0
01/01/2021 13:00,18.3,15.4,18.0
01/01/2021 14:00,18.2,15.4,18.0
01/01/2021 15:00,18.2,15.4,18.0
01/01/2021 16:00,18.2,15.4,18.0
01/01/2021 17:00,18.2,15.4,18.0
01/01/2021 18:00,18.2,15.4,18.0
01/01/2021 19:00,18.2,15.4,18.0
01/01/2021 20:00,18.2,15.4,18.0
01/01/2021 21:00,18.2,15.4,18.0
01/01/2021 22:00,18.2,15.4,18.0
01/01/2021 23:00,18.2,15.4,18.0
02/01/2021 00:00,18.2,15.4,18.0
02/01/2021 01:00,18.2,15.4,18.0
02/01/2021 02:00,18.2,15.4,18.0
02/01/2021 03:00,18.2,15.4,18.0
02/01/2021 04:00,18.2,15.4,18.0
02/01/2021 05:00,18.2,15.4,18.0
02/01/2021 06:00,18.2,15.4,18.0
02/01/2021 07:00,18.2,15.4,18.0
02/01/2021 08:00,18.2,15.4,18.0
02/01/2021 09:00,18.2,15.4,18.0
02/01/2021 10:00,18.2,15.4,18.0
02/01/2021 11:00,18.2,15.4,18.0
02/01/2021 12:00,18.1,15.4,18.0
02/01/2021 13:00,18.0,15.4,18.0
02/01/2021 14:00,17.9,15.4,18.0
02/01/2021 15:00,17.8,15.4,18.0
02/01/2021 16:00,17.8,15.4,18.0
02/01/2021 17:00,17.8,15.4,18.0
02/01/2021 18:00,17.8,15.4,18.0
02/01/2021 19:00,17.8,15.4,18.0
02/01/2021 20:00,17.8,15.4,18.0
02/01/2021 21:00,17.8,15.4,18.0
02/01/2021 22:00,17.8,15.4,18.0
02/01/2021 23:00,17.8,15.4,18.0
03/01/2021 00:00,17.8,15.4,18.0
03/01/2021 01:00,17.7,15.4,18.0
03/01/2021 02:00,17.7,15.4,18.0
03/01/2021 03:00,17.7,15.4,18.0
03/01/2021 04:00,17.7,15.4,18.0
03/01/2021 05:00,17.6,15.4,18.0
03/01/2021 06:00,17.6,15.4,18.0
03/01/2021 07:00,17.6,15.4,18.0
03/01/2021 08:00,17.6,15.4,18.0
03/01/2021 09:00,17.6,15.4,18.0
03/01/2021 10:00,17.6,15.4,18.0
03/01/2021 11:00,17.6,15.4,18.0
03/01/2021 12:00,17.6,15.4,18.0
03/01/2021 13:00,17.6,15.4,18.0
03/01/2021 14:00,17.6,15.4,18.0
03/01/2021 15:00,17.5,15.4,18.0
03/01/2021 16:00,17.5,15.4,18.0
03/01/2021 17:00,17.5,15.4,18.0
