

   Time         sum(rTop)     sum(rRoot)    sum(vTop)     sum(vRoot)     sum(vBot)    hTop       hRoot      hBot      A-level
    [T]           [L]           [L]           [L]           [L]            [L]        [L]         [L]       [L] 

     1.00000  0.000000E+00  0.000000E+00  0.244186E-07  0.000000E+00  0.857626E-01   -165.996      0.000     78.275       1
     2.00000  0.000000E+00  0.000000E+00  0.351197E-07  0.000000E+00  0.160487E+00   -165.536      0.000     78.000       2
     3.00000  0.000000E+00  0.000000E+00  0.407149E-07  0.000000E+00  0.227961E+00   -165.171      0.000     77.650       3
     4.00000  0.000000E+00  0.000000E+00  0.444984E-07  0.000000E+00  0.292075E+00   -164.852      0.000     77.758       4
     5.00000  0.000000E+00  0.000000E+00  0.301575E-07  0.000000E+00  0.352304E+00   -164.569      0.000     77.783       5
     6.00000  0.000000E+00  0.000000E+00  0.403729E-07  0.000000E+00  0.409447E+00   -164.304      0.000     77.708       6
     7.00000  0.000000E+00  0.000000E+00  0.307395E-07  0.000000E+00  0.464759E+00   -164.054      0.000     77.833       7
     8.00000  0.388446E-02  0.000000E+00  0.388450E-02  0.000000E+00  0.519749E+00   -166.389      0.000     78.283       8
     9.00000  0.152732E-01  0.000000E+00  0.152732E-01  0.000000E+00  0.569055E+00   -172.380      0.000     77.433       9
    10.00000  0.333899E-01  0.000000E+00  0.333899E-01  0.000000E+00  0.615838E+00   -180.342      0.000     77.208      10
    11.00000  0.570001E-01  0.000000E+00  0.570001E-01  0.000000E+00  0.657819E+00   -189.656      0.000     76.358      11
    12.00000  0.844947E-01  0.000000E+00  0.844947E-01  0.000000E+00  0.698563E+00   -199.703      0.000     76.283      12
    13.00000  0.114000E+00  0.000000E+00  0.114000E+00  0.000000E+00  0.737728E+00   -209.230      0.000     76.108      13
    14.00000  0.143505E+00  0.000000E+00  0.143506E+00  0.000000E+00  0.775960E+00   -217.158      0.000     76.092      14
    15.00000  0.171000E+00  0.000000E+00  0.171000E+00  0.000000E+00  0.813451E+00   -222.338      0.000     76.117      15
    16.00000  0.194610E+00  0.000000E+00  0.194610E+00  0.000000E+00  0.849473E+00   -224.074      0.000     75.967      16
    17.00000  0.212727E+00  0.000000E+00  0.212727E+00  0.000000E+00  0.885343E+00   -221.901      0.000     76.117      17
    18.00000  0.224116E+00  0.000000E+00  0.224116E+00  0.000000E+00  0.921933E+00   -216.024      0.000     76.492      18
    19.00000  0.228000E+00  0.000000E+00  0.228000E+00  0.000000E+00  0.956752E+00   -207.084      0.000     76.292      19
    20.00000  0.228000E+00  0.000000E+00  0.228000E+00  0.000000E+00  0.990655E+00   -199.401      0.000     76.267      20
    21.00000  0.228000E+00  0.000000E+00  0.228000E+00  0.000000E+00  0.102434E+01   -194.857      0.000     76.392      21
    22.00000  0.228000E+00  0.000000E+00  0.228000E+00  0.000000E+00  0.105531E+01   -191.600      0.000     75.908      22
    23.00000  0.228000E+00  0.000000E+00  0.228000E+00  0.000000E+00  0.108597E+01   -189.137      0.000     75.958      23
    24.00000  0.228000E+00  0.000000E+00  0.228000E+00  0.000000E+00  0.111490E+01   -187.017      0.000     75.658      24
    25.00000  0.228000E+00  0.000000E+00  0.228000E+00  0.000000E+00  0.114441E+01   -185.189      0.000     75.908      25
    26.00000  0.228000E+00  0.000000E+00  0.228000E+00  0.000000E+00  0.117229E+01   -183.569      0.000     75.633      26
    27.00000  0.228000E+00  0.000000E+00  0.228000E+00  0.000000E+00  0.120033E+01   -182.120      0.000     75.783      27
    28.00000  0.228000E+00  0.000000E+00  0.228000E+00  0.000000E+00  0.122710E+01   -180.807      0.000     75.583      28
    29.00000  0.228000E+00  0.000000E+00  0.228000E+00  0.000000E+00  0.125464E+01   -179.606      0.000     75.875      29
    30.00000  0.228000E+00  0.000000E+00  0.228000E+00  0.000000E+00  0.128036E+01   -178.498      0.000     75.550      30
