 ******* Program HYDRUS
 ******* 
 Welcome to HYDRUS-1D                                                    
 Date:  26.11.2025    Time:  15:11:27
 Units: L = cm   , T = hours, M = mmol 


 Time:        0.0000


 Node      Depth      Head Moisture       K          C         Flux        Sink         Kappa   v/KsTop   Temp
           [L]        [L]    [-]        [L/T]      [1/L]      [L/T]        [1/T]         [-]      [-]      [C]

   1     0.0000    -167.000 0.3768   0.5896E-02  0.3920E-03  0.1353E-02  0.0000E+00      -1   0.197E-02   20.00
   2    -2.0000    -164.547 0.3777   0.6055E-02  0.3959E-03  0.1372E-02  0.0000E+00      -1   0.199E-02   20.00
   3    -4.0000    -162.094 0.3786   0.6215E-02  0.3998E-03  0.1406E-02  0.0000E+00      -1   0.205E-02   20.00
   4    -6.0000    -159.642 0.3796   0.6375E-02  0.4037E-03  0.1442E-02  0.0000E+00      -1   0.210E-02   20.00
   5    -8.0000    -157.189 0.3805   0.6535E-02  0.4076E-03  0.1480E-02  0.0000E+00      -1   0.215E-02   20.00
   6   -10.0000    -154.736 0.3814   0.6695E-02  0.4114E-03  0.1516E-02  0.0000E+00      -1   0.221E-02   20.00
   7   -12.0000    -152.283 0.3824   0.6855E-02  0.4153E-03  0.1558E-02  0.0000E+00      -1   0.227E-02   20.00
   8   -14.0000    -149.831 0.3835   0.7135E-02  0.4200E-03  0.1615E-02  0.0000E+00      -1   0.235E-02   20.00
   9   -16.0000    -147.378 0.3846   0.7432E-02  0.4249E-03  0.1683E-02  0.0000E+00      -1   0.245E-02   20.00
  10   -18.0000    -144.925 0.3857   0.7729E-02  0.4297E-03  0.1787E-02  0.0000E+00      -1   0.260E-02   20.00
  11   -20.0000    -142.473 0.2824   0.8710E-02  0.5649E-03  0.1938E-02  0.0000E+00      -1   0.282E-02   20.00
  12   -22.0000    -140.020 0.2838   0.9109E-02  0.5709E-03  0.2063E-02  0.0000E+00      -1   0.300E-02   20.00
  13   -24.0000    -137.567 0.2852   0.9507E-02  0.5769E-03  0.2153E-02  0.0000E+00      -1   0.313E-02   20.00
  14   -26.0000    -135.114 0.2866   0.9906E-02  0.5829E-03  0.2244E-02  0.0000E+00      -1   0.326E-02   20.00
  15   -28.0000    -132.661 0.2881   0.1030E-01  0.5889E-03  0.2331E-02  0.0000E+00      -1   0.339E-02   20.00
  16   -30.0000    -130.209 0.2895   0.1070E-01  0.5949E-03  0.2421E-02  0.0000E+00      -1   0.352E-02   20.00
  17   -32.0000    -127.756 0.2909   0.1110E-01  0.6009E-03  0.2514E-02  0.0000E+00      -1   0.366E-02   20.00
  18   -34.0000    -125.303 0.2923   0.1150E-01  0.6070E-03  0.2602E-02  0.0000E+00      -1   0.378E-02   20.00
  19   -36.0000    -122.851 0.2937   0.1190E-01  0.6130E-03  0.2692E-02  0.0000E+00      -1   0.392E-02   20.00
  20   -38.0000    -120.398 0.2952   0.1230E-01  0.6190E-03  0.2805E-02  0.0000E+00      -1   0.408E-02   20.00
  21   -40.0000    -117.945 0.2968   0.1303E-01  0.6242E-03  0.2952E-02  0.0000E+00      -1   0.429E-02   20.00
