 ******* Program HYDRUS
 ******* 
 Welcome to HYDRUS-1D                                                    
 Date:  26.11.2025    Time:  15:11:27
 Units: L = cm   , T = hours, M = mmol 



                               Node(  6)                      Node( 21)                      Node( 41)

         time            h        theta    Flux           h        theta    Flux           h        theta    Flux  
          1.0000     -154.63  0.3815  0.143E-02       -117.83  0.2968  0.301E-02        -68.59  0.3287  0.101E-01
          2.0000     -154.43  0.3816  0.127E-02       -117.72  0.2969  0.304E-02        -68.20  0.3293  0.113E-01
          3.0000     -154.21  0.3817  0.115E-02       -117.62  0.2970  0.306E-02        -67.70  0.3300  0.129E-01
          4.0000     -153.99  0.3817  0.106E-02       -117.51  0.2970  0.308E-02        -67.12  0.3309  0.145E-01
          5.0000     -153.77  0.3818  0.997E-03       -117.39  0.2971  0.311E-02        -66.48  0.3318  0.160E-01
          6.0000     -153.55  0.3819  0.944E-03       -117.27  0.2972  0.314E-02        -65.82  0.3328  0.174E-01
          7.0000     -153.34  0.3820  0.901E-03       -117.14  0.2973  0.319E-02        -65.15  0.3337  0.185E-01
          8.0000     -153.37  0.3820  0.126E-02       -117.00  0.2974  0.324E-02        -64.49  0.3347  0.195E-01
          9.0000     -153.94  0.3818  0.236E-02       -116.85  0.2975  0.330E-02        -63.85  0.3356  0.204E-01
         10.0000     -155.13  0.3813  0.403E-02       -116.69  0.2976  0.339E-02        -63.23  0.3365  0.210E-01
         11.0000     -156.92  0.3806  0.599E-02       -116.51  0.2977  0.350E-02        -62.64  0.3374  0.214E-01
         12.0000     -159.18  0.3798  0.803E-02       -116.34  0.2978  0.363E-02        -62.09  0.3382  0.216E-01
         13.0000     -161.75  0.3788  0.991E-02       -116.16  0.2979  0.380E-02        -61.57  0.3390  0.217E-01
         14.0000     -164.47  0.3777  0.115E-01       -115.98  0.2980  0.402E-02        -61.08  0.3397  0.217E-01
         15.0000     -167.10  0.3767  0.127E-01       -115.81  0.2981  0.426E-02        -60.63  0.3403  0.217E-01
         16.0000     -169.52  0.3758  0.134E-01       -115.66  0.2982  0.455E-02        -60.20  0.3410  0.216E-01
         17.0000     -171.50  0.3750  0.135E-01       -115.51  0.2983  0.487E-02        -59.79  0.3416  0.215E-01
         18.0000     -172.87  0.3745  0.130E-01       -115.38  0.2984  0.521E-02        -59.40  0.3422  0.214E-01
         19.0000     -173.47  0.3742  0.120E-01       -115.27  0.2985  0.556E-02        -59.03  0.3427  0.213E-01
         20.0000     -173.38  0.3743  0.106E-01       -115.16  0.2986  0.592E-02        -58.67  0.3433  0.212E-01
         21.0000     -172.84  0.3745  0.921E-02       -115.06  0.2986  0.627E-02        -58.33  0.3438  0.211E-01
         22.0000     -172.05  0.3748  0.804E-02       -114.96  0.2987  0.660E-02        -58.00  0.3443  0.209E-01
         23.0000     -171.14  0.3752  0.708E-02       -114.85  0.2988  0.691E-02        -57.69  0.3448  0.207E-01
         24.0000     -170.20  0.3755  0.631E-02       -114.75  0.2988  0.719E-02        -57.39  0.3452  0.205E-01
         25.0000     -169.25  0.3759  0.568E-02       -114.63  0.2989  0.744E-02        -57.12  0.3456  0.203E-01
         26.0000     -168.33  0.3762  0.516E-02       -114.50  0.2990  0.767E-02        -56.86  0.3460  0.201E-01
         27.0000     -167.44  0.3766  0.473E-02       -114.35  0.2991  0.786E-02        -56.61  0.3464  0.199E-01
         28.0000     -166.58  0.3769  0.437E-02       -114.19  0.2992  0.803E-02        -56.37  0.3467  0.196E-01
