 ******* Program HYDRUS
 ******* 
 Welcome to HYDRUS-1D                                                    
 Date:  26.11.2025    Time:  15:11:27
 Units: L = cm   , T = hours, M = mmol 


    TLevel      Time          dt      Iter    ItCum  KodT  KodB  Convergency

       10  0.1000000E+01  0.21749E+00    2       20    -4     3     T
       13  0.2000000E+01  0.37500E+00    2       26    -4     3     T
       15  0.3000000E+01  0.50000E+00    2       30    -4     3     T
       17  0.4000000E+01  0.50000E+00    2       34    -4     3     T
       18  0.5000000E+01  0.10000E+01    2       36    -4     3     T
       19  0.6000000E+01  0.10000E+01    2       38    -4     3     T
       20  0.7000000E+01  0.10000E+01    2       40    -4     3     T
       21  0.8000000E+01  0.10000E+01    2       42    -4     3     T
       22  0.9000000E+01  0.10000E+01    2       44    -4     3     T
       23  0.1000000E+02  0.10000E+01    2       46    -4     3     T
       24  0.1100000E+02  0.10000E+01    2       48    -4     3     T
       25  0.1200000E+02  0.10000E+01    2       50    -4     3     T
       26  0.1300000E+02  0.10000E+01    2       52    -4     3     T
       27  0.1400000E+02  0.10000E+01    2       54    -4     3     T
       28  0.1500000E+02  0.10000E+01    2       56    -4     3     T
       29  0.1600000E+02  0.10000E+01    2       58    -4     3     T
       30  0.1700000E+02  0.10000E+01    2       60    -4     3     T
       31  0.1800000E+02  0.10000E+01    2       62    -4     3     T
       32  0.1900000E+02  0.10000E+01    2       64    -4     3     T
       33  0.2000000E+02  0.10000E+01    2       66    -4     3     T
       34  0.2100000E+02  0.10000E+01    2       68    -4     3     T
       35  0.2200000E+02  0.10000E+01    2       70    -4     3     T
       36  0.2300000E+02  0.10000E+01    2       72    -4     3     T
       37  0.2400000E+02  0.10000E+01    2       74    -4     3     T
       38  0.2500000E+02  0.10000E+01    2       76    -4     3     T
       39  0.2600000E+02  0.10000E+01    2       78    -4     3     T
       40  0.2700000E+02  0.10000E+01    2       80    -4     3     T
       41  0.2800000E+02  0.10000E+01    2       82    -4     3     T
       42  0.2900000E+02  0.10000E+01    2       84    -4     3     T
       43  0.3000000E+02  0.10000E+01    2       86    -4     3     T
       44  0.3100000E+02  0.10000E+01    2       88    -4     3     T
       45  0.3200000E+02  0.10000E+01    2       90    -4     3     T
       46  0.3300000E+02  0.10000E+01    2       92    -4     3     T
       47  0.3400000E+02  0.10000E+01    2       94    -4     3     T
       48  0.3500000E+02  0.10000E+01    2       96    -4     3     T
       49  0.3600000E+02  0.10000E+01    2       98    -4     3     T
       50  0.3700000E+02  0.10000E+01    2      100    -4     3     T
       51  0.3800000E+02  0.10000E+01    2      102    -4     3     T
       52  0.3900000E+02  0.10000E+01    2      104    -4     3     T
       53  0.4000000E+02  0.10000E+01    2      106    -4     3     T
       54  0.4100000E+02  0.10000E+01    2      108    -4     3     T
       55  0.4200000E+02  0.10000E+01    2      110    -4     3     T
       56  0.4300000E+02  0.10000E+01    2      112    -4     3     T
       57  0.4400000E+02  0.10000E+01    2      114    -4     3     T
       58  0.4500000E+02  0.10000E+01    2      116    -4     3     T
       59  0.4600000E+02  0.10000E+01    2      118    -4     3     T
       60  0.4700000E+02  0.10000E+01    2      120    -4     3     T
       61  0.4800000E+02  0.10000E+01    2      122    -4     3     T
       62  0.4900000E+02  0.10000E+01    2      124    -4     3     T
       63  0.5000000E+02  0.10000E+01    2      126    -4     3     T
       64  0.5100000E+02  0.10000E+01    2      128    -4     3     T
       65  0.5200000E+02  0.10000E+01    2      130    -4     3     T
       66  0.5300000E+02  0.10000E+01    2      132    -4     3     T
       67  0.5400000E+02  0.10000E+01    2      134    -4     3     T
       68  0.5500000E+02  0.10000E+01    2      136    -4     3     T
       69  0.5600000E+02  0.10000E+01    2      138    -4     3     T
       70  0.5700000E+02  0.10000E+01    2      140    -4     3     T
       71  0.5800000E+02  0.10000E+01    2      142    -4     3     T
       72  0.5900000E+02  0.10000E+01    2      144    -4     3     T
       73  0.6000000E+02  0.10000E+01    2      146    -4     3     T
       74  0.6100000E+02  0.10000E+01    2      148    -4     3     T
       75  0.6200000E+02  0.10000E+01    2      150    -4     3     T
       76  0.6300000E+02  0.10000E+01    2      152    -4     3     T
       77  0.6400000E+02  0.10000E+01    2      154    -4     3     T
       78  0.6500000E+02  0.10000E+01    2      156    -4     3     T
       79  0.6600000E+02  0.10000E+01    2      158    -4     3     T
       80  0.6700000E+02  0.10000E+01    2      160    -4     3     T
