 ******* Program HYDRUS
 ******* 
 Welcome to HYDRUS-1D                                                    
 Date:  26.11.2025    Time:  15:11:27
 Units: L = cm   , T = hours, M = mmol 

       Time          rTop        rRoot        vTop         vRoot        vBot       sum(rTop)   sum(rRoot)    sum(vTop)   sum(vRoot)    sum(vBot)      hTop         hRoot        hBot        RunOff    sum(RunOff)     Volume     sum(Infil)    sum(Evap) TLevel Cum(WTrans)  SnowLayer
        [T]         [L/T]        [L/T]        [L/T]        [L/T]        [L/T]         [L]          [L]          [L]         [L]           [L]         [L]           [L]         [L]          [L/T]         [L]          [L]          [L]          [L]

       1.0000  0.00000E+00  0.00000E+00 -0.11423E-07  0.00000E+00  0.80844E-01  0.00000E+00  0.00000E+00  0.24419E-07  0.00000E+00  0.85763E-01 -0.16600E+03  0.00000E+00  0.78275E+02  0.00000E+00  0.00000E+00  0.72688E+02  0.00000E+00  0.42684E-07     10  0.00000E+00      0.000
       2.0000  0.00000E+00  0.00000E+00 -0.28522E-08  0.00000E+00  0.72722E-01  0.00000E+00  0.00000E+00  0.35120E-07  0.00000E+00  0.16049E+00 -0.16554E+03  0.00000E+00  0.78000E+02  0.00000E+00  0.00000E+00  0.72763E+02  0.00000E+00  0.54455E-07     13  0.00000E+00      0.000
       3.0000  0.00000E+00  0.00000E+00  0.13024E-07  0.00000E+00  0.66407E-01  0.00000E+00  0.00000E+00  0.40715E-07  0.00000E+00  0.22796E+00 -0.16517E+03  0.00000E+00  0.77650E+02  0.00000E+00  0.00000E+00  0.72830E+02  0.00000E+00  0.60966E-07     15  0.00000E+00      0.000
       4.0000  0.00000E+00  0.00000E+00  0.90222E-08  0.00000E+00  0.63200E-01  0.00000E+00  0.00000E+00  0.44498E-07  0.00000E+00  0.29208E+00 -0.16485E+03  0.00000E+00  0.77758E+02  0.00000E+00  0.00000E+00  0.72894E+02  0.00000E+00  0.65478E-07     17  0.00000E+00      0.000
       5.0000  0.00000E+00  0.00000E+00 -0.14341E-07  0.00000E+00  0.60229E-01  0.00000E+00  0.00000E+00  0.30157E-07  0.00000E+00  0.35230E+00 -0.16457E+03  0.00000E+00  0.77783E+02  0.00000E+00  0.00000E+00  0.72954E+02  0.00000E+00  0.65478E-07     18  0.00000E+00      0.000
       6.0000  0.00000E+00  0.00000E+00  0.10215E-07  0.00000E+00  0.57143E-01  0.00000E+00  0.00000E+00  0.40373E-07  0.00000E+00  0.40945E+00 -0.16430E+03  0.00000E+00  0.77708E+02  0.00000E+00  0.00000E+00  0.73012E+02  0.00000E+00  0.75693E-07     19  0.00000E+00      0.000
       7.0000  0.00000E+00  0.00000E+00 -0.96334E-08  0.00000E+00  0.55312E-01  0.00000E+00  0.00000E+00  0.30740E-07  0.00000E+00  0.46476E+00 -0.16405E+03  0.00000E+00  0.77833E+02  0.00000E+00  0.00000E+00  0.73067E+02  0.00000E+00  0.75693E-07     20  0.00000E+00      0.000
       8.0000  0.38845E-02  0.00000E+00  0.38845E-02  0.00000E+00  0.54990E-01  0.38845E-02  0.00000E+00  0.38845E-02  0.00000E+00  0.51975E+00 -0.16639E+03  0.00000E+00  0.78283E+02  0.00000E+00  0.00000E+00  0.73118E+02  0.00000E+00  0.38845E-02     21  0.00000E+00      0.000
