Timestamps,TEROS12_15cm,TEROS10_35cm,TEROS12_80cm
01/01/2021 00:00,0.375,0.301,0.342
01/01/2021 01:00,0.375,0.301,0.342
01/01/2021 02:00,0.375,0.301,0.342
01/01/2021 03:00,0.375,0.301,0.342
01/01/2021 04:00,0.375,0.301,0.342
01/01/2021 05:00,0.375,0.301,0.342
01/01/2021 06:00,0.375,0.301,0.342
01/01/2021 07:00,0.375,0.301,0.342
01/01/2021 08:00,0.375,0.301,0.342
01/01/2021 09:00,0.375,0.301,0.342
01/01/2021 10:00,0.375,0.301,0.342
01/01/2021 11:00,0.375,0.301,0.342
01/01/2021 12:00,0.375,0.301,0.342
01/01/2021 13:00,0.375,0.301,0.342
01/01/2021 14:00,0.375,0.3,0.342
01/01/2021 15:00,0.375,0.3,0.342
01/01/2021 16:00,0.375,0.3,0.342
01/01/2021 17:00,0.374,0.301,0.342
01/01/2021 18:00,0.374,0.301,0.342
01/01/2021 19:00,0.374,0.301,0.342
01/01/2021 20:00,0.374,0.3,0.342
01/01/2021 21:00,0.374,0.3,0.342
01/01/2021 22:00,0.374,0.3,0.342
01/01/2021 23:00,0.374,0.3,0.342
02/01/2021 00:00,0.374,0.3,0.342
02/01/2021 01:00,0.374,0.3,0.342
02/01/2021 02:00,0.374,0.3,0.342
02/01/2021 03:00,0.374,0.3,0.342
02/01/2021 04:00,0.374,0.3,0.342
02/01/2021 05:00,0.374,0.3,0.342
02/01/2021 06:00,0.374,0.3,0.342
02/01/2021 07:00,0.374,0.3,0.342
02/01/2021 08:00,0.374,0.3,0.342
02/01/2021 09:00,0.374,0.3,0.342
02/01/2021 10:00,0.374,0.3,0.342
02/01/2021 11:00,0.374,0.3,0.342
02/01/2021 12:00,0.374,0.3,0.342
02/01/2021 13:00,0.374,0.3,0.342
02/01/2021 14:00,0.374,0.3,0.342
02/01/2021 15:00,0.374,0.3,0.342
02/01/2021 16:00,0.374,0.3,0.342
02/01/2021 17:00,0.374,0.3,0.342
02/01/2021 18:00,0.373,0.3,0.342
02/01/2021 19:00,0.373,0.3,0.342
02/01/2021 20:00,0.373,0.3,0.342
02/01/2021 21:00,0.373,0.3,0.342
02/01/2021 22:00,0.373,0.299,0.342
02/01/2021 23:00,0.373,0.299,0.342
03/01/2021 00:00,0.373,0.299,0.342
03/01/2021 01:00,0.373,0.299,0.342
03/01/2021 02:00,0.373,0.299,0.341
03/01/2021 03:00,0.373,0.299,0.341
