Timestamps,TEROS12_15cm,TEROS10_35cm,TEROS12_80cm
01/01/2021 00:00,0.338,0.275,0.319
01/01/2021 01:00,0.338,0.275,0.319
01/01/2021 02:00,0.338,0.275,0.319
01/01/2021 03:00,0.338,0.275,0.319
01/01/2021 04:00,0.338,0.275,0.319
01/01/2021 05:00,0.338,0.275,0.319
01/01/2021 06:00,0.337,0.275,0.319
01/01/2021 07:00,0.337,0.275,0.319
01/01/2021 08:00,0.337,0.275,0.319
01/01/2021 09:00,0.337,0.274,0.319
01/01/2021 10:00,0.337,0.274,0.319
01/01/2021 11:00,0.337,0.274,0.319
01/01/2021 12:00,0.337,0.274,0.319
01/01/2021 13:00,0.337,0.274,0.319
01/01/2021 14:00,0.337,0.274,0.319
01/01/2021 15:00,0.337,0.274,0.319
01/01/2021 16:00,0.337,0.274,0.319
01/01/2021 17:00,0.337,0.274,0.319
01/01/2021 18:00,0.337,0.273,0.319
01/01/2021 19:00,0.337,0.273,0.319
01/01/2021 20:00,0.337,0.273,0.319
01/01/2021 21:00,0.337,0.273,0.319
01/01/2021 22:00,0.337,0.273,0.319
01/01/2021 23:00,0.337,0.273,0.319
02/01/2021 00:00,0.337,0.273,0.319
02/01/2021 01:00,0.337,0.273,0.319
02/01/2021 02:00,0.337,0.273,0.319
02/01/2021 03:00,0.337,0.272,0.319
02/01/2021 04:00,0.337,0.272,0.319
02/01/2021 05:00,0.337,0.272,0.319
02/01/2021 06:00,0.337,0.272,0.319
02/01/2021 07:00,0.337,0.272,0.319
02/01/2021 08:00,0.336,0.272,0.319
02/01/2021 09:00,0.336,0.272,0.32
02/01/2021 10:00,0.336,0.272,0.32
02/01/2021 11:00,0.336,0.272,0.32
02/01/2021 12:00,0.336,0.272,0.32
02/01/2021 13:00,0.336,0.271,0.32
02/01/2021 14:00,0.336,0.271,0.32
02/01/2021 15:00,0.336,0.271,0.32
02/01/2021 16:00,0.336,0.271,0.32
02/01/2021 17:00,0.336,0.271,0.32
02/01/2021 18:00,0.336,0.271,0.32
02/01/2021 19:00,0.336,0.271,0.32
02/01/2021 20:00,0.335,0.271,0.32
02/01/2021 21:00,0.335,0.271,0.32
02/01/2021 22:00,0.335,0.271,0.32
02/01/2021 23:00,0.335,0.271,0.32
03/01/2021 00:00,0.335,0.271,0.32
03/01/2021 01:00,0.335,0.271,0.32
03/01/2021 02:00,0.335,0.27,0.32
03/01/2021 03:00,0.335,0.27,0.32
03/01/2021 04:00,0.335,0.27,0.32
03/01/2021 05:00,0.335,0.27,0.32
03/01/2021 06:00,0.335,0.27,0.32
03/01/2021 07:00,0.335,0.27,0.321
03/01/2021 08:00,0.335,0.27,0.321
03/01/2021 09:00,0.335,0.27,0.321
03/01/2021 10:00,0.334,0.27,0.321
03/01/2021 11:00,0.334,0.27,0.321
03/01/2021 12:00,0.334,0.269,0.321
03/01/2021 13:00,0.334,0.269,0.321
03/01/2021 14:00,0.334,0.269,0.321
03/01/2021 15:00,0.334,0.269,0.32
03/01/2021 16:00,0.334,0.269,0.32
03/01/2021 17:00,0.334,0.269,0.32
03/01/2021 18:00,0.334,0.269,0.321
03/01/2021 19:00,0.334,0.269,0.32
03/01/2021 20:00,0.334,0.269,0.32
03/01/2021 21:00,0.334,0.269,0.32
03/01/2021 22:00,0.334,0.269,0.32
03/01/2021 23:00,0.333,0.269,0.32
04/01/2021 00:00,0.333,0.269,0.321
04/01/2021 01:00,0.333,0.269,0.321
04/01/2021 02:00,0.333,0.268,0.319
04/01/2021 03:00,0.333,0.268,0.318
04/01/2021 04:00,0.333,0.268,0.318
04/01/2021 05:00,0.333,0.268,0.318
04/01/2021 06:00,0.333,0.268,0.318
04/01/2021 07:00,0.333,0.268,0.318
04/01/2021 08:00,0.333,0.268,0.318
04/01/2021 09:00,0.333,0.268,0.318
04/01/2021 10:00,0.333,0.268,0.318
04/01/2021 11:00,0.333,0.268,0.318
04/01/2021 12:00,0.333,0.268,0.318
04/01/2021 13:00,0.333,0.268,0.318
04/01/2021 14:00,0.333,0.268,0.318
04/01/2021 15:00,0.333,0.268,0.318
04/01/2021 16:00,0.333,0.268,0.318
04/01/2021 17:00,0.333,0.268,0.318
04/01/2021 18:00,0.333,0.268,0.318
04/01/2021 19:00,0.333,0.268,0.318
04/01/2021 20:00,0.333,0.268,0.318
04/01/2021 21:00,0.333,0.268,0.318
04/01/2021 22:00,0.333,0.268,0.318
04/01/2021 23:00,0.333,0.268,0.318
05/01/2021 00:00,0.333,0.268,0.318
05/01/2021 01:00,0.333,0.268,0.318
05/01/2021 02:00,0.333,0.268,0.318
05/01/2021 03:00,0.333,0.267,0.318
05/01/2021 04:00,0.333,0.267,0.318
05/01/2021 05:00,0.333,0.267,0.318
05/01/2021 06:00,0.333,0.267,0.318
05/01/2021 07:00,0.333,0.267,0.318
05/01/2021 08:00,0.333,0.267,0.318
05/01/2021 09:00,0.333,0.267,0.318
05/01/2021 10:00,0.333,0.267,0.318
05/01/2021 11:00,0.333,0.267,0.318
05/01/2021 12:00,0.333,0.267,0.318
05/01/2021 13:00,0.333,0.267,0.317
05/01/2021 14:00,0.333,0.267,0.317
05/01/2021 15:00,0.333,0.267,0.317
05/01/2021 16:00,0.333,0.267,0.317
05/01/2021 17:00,0.333,0.267,0.317
05/01/2021 18:00,0.333,0.267,0.317
05/01/2021 19:00,0.333,0.267,0.317
05/01/2021 20:00,0.333,0.267,0.317
05/01/2021 21:00,0.333,0.267,0.317
05/01/2021 22:00,0.333,0.267,0.317
