Timestamps,TEROS12_15cm,TEROS10_35cm,TEROS12_80cm
01/01/2021 00:00,0.354,0.314,0.351
01/01/2021 01:00,0.354,0.314,0.351
01/01/2021 02:00,0.354,0.314,0.351
01/01/2021 03:00,0.354,0.314,0.351
01/01/2021 04:00,0.354,0.314,0.351
01/01/2021 05:00,0.354,0.314,0.351
01/01/2021 06:00,0.354,0.314,0.351
01/01/2021 07:00,0.354,0.314,0.351
01/01/2021 08:00,0.354,0.314,0.351
01/01/2021 09:00,0.354,0.314,0.351
01/01/2021 10:00,0.354,0.314,0.351
01/01/2021 11:00,0.354,0.314,0.351
01/01/2021 12:00,0.354,0.314,0.351
01/01/2021 13:00,0.354,0.314,0.351
01/01/2021 14:00,0.353,0.313,0.351
01/01/2021 15:00,0.353,0.313,0.351
01/01/2021 16:00,0.353,0.313,0.351
01/01/2021 17:00,0.353,0.313,0.351
01/01/2021 18:00,0.353,0.313,0.351
01/01/2021 19:00,0.353,0.314,0.351
01/01/2021 20:00,0.353,0.313,0.351
01/01/2021 21:00,0.353,0.313,0.351
01/01/2021 22:00,0.353,0.314,0.351
01/01/2021 23:00,0.353,0.313,0.351
02/01/2021 00:00,0.353,0.313,0.351
02/01/2021 01:00,0.353,0.313,0.351
02/01/2021 02:00,0.353,0.313,0.351
02/01/2021 03:00,0.353,0.314,0.351
02/01/2021 04:00,0.353,0.314,0.351
02/01/2021 05:00,0.353,0.314,0.351
02/01/2021 06:00,0.353,0.313,0.351
02/01/2021 07:00,0.353,0.313,0.351
02/01/2021 08:00,0.353,0.313,0.351
02/01/2021 09:00,0.353,0.313,0.351
02/01/2021 10:00,0.353,0.313,0.351
02/01/2021 11:00,0.353,0.313,0.351
02/01/2021 12:00,0.352,0.313,0.351
02/01/2021 13:00,0.351,0.313,0.351
02/01/2021 14:00,0.349,0.313,0.351
02/01/2021 15:00,0.348,0.313,0.351
02/01/2021 16:00,0.348,0.313,0.351
02/01/2021 17:00,0.348,0.313,0.351
02/01/2021 18:00,0.348,0.313,0.351
02/01/2021 19:00,0.348,0.313,0.351
02/01/2021 20:00,0.348,0.313,0.351
02/01/2021 21:00,0.348,0.313,0.351
02/01/2021 22:00,0.348,0.313,0.351
02/01/2021 23:00,0.348,0.313,0.351
03/01/2021 00:00,0.348,0.313,0.351
03/01/2021 01:00,0.347,0.313,0.351
03/01/2021 02:00,0.347,0.313,0.351
03/01/2021 03:00,0.347,0.313,0.351
03/01/2021 04:00,0.347,0.313,0.351
03/01/2021 05:00,0.345,0.313,0.351
03/01/2021 06:00,0.345,0.313,0.351
03/01/2021 07:00,0.345,0.313,0.351
03/01/2021 08:00,0.345,0.313,0.351
03/01/2021 09:00,0.345,0.313,0.351
03/01/2021 10:00,0.345,0.313,0.351
03/01/2021 11:00,0.345,0.313,0.351
03/01/2021 12:00,0.345,0.313,0.351
03/01/2021 13:00,0.345,0.313,0.351
03/01/2021 14:00,0.345,0.313,0.351
03/01/2021 15:00,0.344,0.313,0.351
03/01/2021 16:00,0.344,0.313,0.351
03/01/2021 17:00,0.344,0.313,0.351
03/01/2021 18:00,0.344,0.313,0.351
03/01/2021 19:00,0.344,0.313,0.351
03/01/2021 20:00,0.344,0.313,0.351
03/01/2021 21:00,0.344,0.313,0.351
03/01/2021 22:00,0.344,0.313,0.351
03/01/2021 23:00,0.344,0.313,0.351
04/01/2021 00:00,0.344,0.313,0.351
04/01/2021 01:00,0.344,0.313,0.351
04/01/2021 02:00,0.344,0.313,0.351
04/01/2021 03:00,0.345,0.313,0.351
04/01/2021 04:00,0.344,0.313,0.351
04/01/2021 05:00,0.345,0.313,0.351
04/01/2021 06:00,0.346,0.313,0.351
04/01/2021 07:00,0.346,0.313,0.351
04/01/2021 08:00,0.347,0.313,0.351
04/01/2021 09:00,0.346,0.313,0.351
04/01/2021 10:00,0.346,0.313,0.351
04/01/2021 11:00,0.346,0.313,0.351
04/01/2021 12:00,0.346,0.313,0.351
04/01/2021 13:00,0.346,0.313,0.351
04/01/2021 14:00,0.346,0.313,0.351
04/01/2021 15:00,0.345,0.313,0.351
04/01/2021 16:00,0.345,0.313,0.351
04/01/2021 17:00,0.345,0.313,0.351
04/01/2021 18:00,0.345,0.313,0.351
04/01/2021 19:00,0.346,0.313,0.351
04/01/2021 20:00,0.346,0.313,0.351
04/01/2021 21:00,0.346,0.313,0.351
04/01/2021 22:00,0.346,0.313,0.351
04/01/2021 23:00,0.346,0.313,0.351
05/01/2021 00:00,0.345,0.313,0.351
05/01/2021 01:00,0.345,0.313,0.351
05/01/2021 02:00,0.345,0.313,0.351
05/01/2021 03:00,0.345,0.313,0.351
05/01/2021 04:00,0.345,0.313,0.351
05/01/2021 05:00,0.345,0.313,0.351
05/01/2021 06:00,0.345,0.313,0.351
05/01/2021 07:00,0.345,0.313,0.351
05/01/2021 08:00,0.345,0.313,0.351
05/01/2021 09:00,0.345,0.313,0.351
05/01/2021 10:00,0.345,0.313,0.351
05/01/2021 11:00,0.345,0.313,0.351
05/01/2021 12:00,0.345,0.313,0.351
05/01/2021 13:00,0.344,0.313,0.351
05/01/2021 14:00,0.344,0.313,0.351
05/01/2021 15:00,0.344,0.313,0.351
05/01/2021 16:00,0.344,0.313,0.351
05/01/2021 17:00,0.344,0.312,0.351
05/01/2021 18:00,0.344,0.312,0.351
05/01/2021 19:00,0.344,0.312,0.351
05/01/2021 20:00,0.344,0.312,0.351
05/01/2021 21:00,0.344,0.312,0.351
05/01/2021 22:00,0.344,0.312,0.351
05/01/2021 23:00,0.344,0.312,0.351
06/01/2021 00:00,0.345,0.312,0.351
06/01/2021 01:00,0.345,0.312,0.351
06/01/2021 02:00,0.344,0.312,0.351
06/01/2021 03:00,0.344,0.312,0.351
06/01/2021 04:00,0.344,0.312,0.351
06/01/2021 05:00,0.344,0.312,0.351
06/01/2021 06:00,0.344,0.312,0.351
06/01/2021 07:00,0.344,0.312,0.351
06/01/2021 08:00,0.344,0.312,0.351
06/01/2021 09:00,0.344,0.312,0.351
06/01/2021 10:00,0.344,0.312,0.351
06/01/2021 11:00,0.344,0.312,0.351
06/01/2021 12:00,0.344,0.311,0.351
06/01/2021 13:00,0.344,0.31,0.351
