"","time (hours)","N1 matric potential (hPa)","N1 theta (m³/m³)","N1 flux (cm/h)","N2 matric potential (hPa)","N2 theta (m³/m³)","N2 flux (cm/h)","N3 matric potential (hPa)","N3 theta (m³/m³)","N3 flux (cm/h)"
"2",0.024,-207.93,0.2932,0.00854,-162.74,0.2534,0.000504,-102.49,0.3378,0.00316
"21",0.048,-207.92,0.2932,0.00854,-162.74,0.2534,0.000505,-102.48,0.3378,0.00316
"3",0.0792,-207.91,0.2932,0.00854,-162.74,0.2534,0.000508,-102.48,0.3378,0.00316
"4",0.1198,-207.9,0.2932,0.00852,-162.74,0.2534,0.000513,-102.47,0.3378,0.00316
"5",0.1725,-207.88,0.2932,0.00848,-162.74,0.2534,0.000522,-102.46,0.3378,0.00317
"6",0.241,-207.86,0.2932,0.00841,-162.75,0.2533,0.000535,-102.45,0.3378,0.00317
"7",0.3254,-207.81,0.2932,0.00828,-162.75,0.2533,0.000553,-102.44,0.3378,0.00317
"8",0.4378,-207.74,0.2933,0.00808,-162.76,0.2533,0.000579,-102.42,0.3378,0.00318
"9",0.5784,-207.64,0.2933,0.00781,-162.79,0.2533,0.000613,-102.39,0.3379,0.00318
"10",0.7892,-207.47,0.2934,0.00741,-162.83,0.2533,0.000665,-102.36,0.3379,0.00319
"11",1,-207.29,0.2935,0.00703,-162.88,0.2533,0.000716,-102.32,0.3379,0.0032
"12",1.25,-207.07,0.2936,0.00662,-162.95,0.2533,0.000772,-102.28,0.3379,0.00321
"13",1.625,-206.74,0.2937,0.00605,-163.07,0.2532,0.000848,-102.21,0.338,0.00323
"14",2,-206.44,0.2939,0.00553,-163.19,0.2532,0.000914,-102.13,0.338,0.00326
"15",2.3333,-206.18,0.294,0.00511,-163.3,0.2532,0.000967,-102.06,0.338,0.00329
"16",2.6667,-205.95,0.2941,0.00473,-163.41,0.2531,0.00101,-101.98,0.3381,0.00335
"17",3,-205.73,0.2942,0.00437,-163.52,0.2531,0.00106,-101.89,0.3381,0.00345
"18",3.5,-205.43,0.2944,0.00389,-163.68,0.253,0.00111,-101.65,0.3382,0.00376
"19",4,-205.16,0.2945,0.00347,-163.82,0.253,0.00115,-101.26,0.3384,0.00436
"20",5,-204.72,0.2947,0.00281,-164.08,0.2529,0.00122,-99.16,0.3395,0.00742
"211",6,-204.36,0.2949,0.00229,-164.31,0.2528,0.00127,-95.13,0.3416,0.0129
"22",7,-204.06,0.295,0.00189,-164.5,0.2527,0.00131,-89,0.3452,0.0211
"23",8,-204.05,0.295,0.00229,-164.65,0.2527,0.00133,-81.48,0.3497,0.031
"24",9,-204.62,0.2948,0.00404,-164.78,0.2526,0.00136,-73.44,0.3547,0.0406
"25",10,-205.83,0.2942,0.00667,-164.88,0.2526,0.00138,-65.67,0.3599,0.0494
"26",11,-207.46,0.2934,0.00947,-164.98,0.2526,0.0014,-58.92,0.3646,0.0561
"27",12,-209.42,0.2925,0.0122,-165.08,0.2525,0.00144,-53.12,0.3689,0.0608
"28",13,-211.52,0.2914,0.0144,-165.18,0.2525,0.00149,-48.29,0.3726,0.0637
"29",14,-213.6,0.2904,0.016,-165.29,0.2525,0.00156,-44.25,0.3758,0.0652
