"","time (hours)","N1 matric potential (hPa)","N1 theta (m³/m³)","N1 flux (cm/h)","N2 matric potential (hPa)","N2 theta (m³/m³)","N2 flux (cm/h)","N3 matric potential (hPa)","N3 theta (m³/m³)","N3 flux (cm/h)"
"2",0.024,-111.99,0.3879,5.09e-05,-81.94,0.3449,5.06e-06,-41.89,0.3991,0.00011
"21",0.0552,-111.99,0.3879,5e-05,-81.94,0.3449,5.06e-06,-41.89,0.3991,0.00011
"3",0.0958,-111.99,0.3879,4.84e-05,-81.94,0.3449,5.09e-06,-41.89,0.3991,0.000111
"4",0.1485,-111.99,0.3879,4.67e-05,-81.94,0.3449,5.08e-06,-41.89,0.3991,0.000111
"5",0.217,-111.99,0.3879,4.4e-05,-81.94,0.3449,5.08e-06,-41.89,0.3991,0.000112
"6",0.304,-111.99,0.3879,4.08e-05,-81.94,0.3449,5.07e-06,-41.89,0.3991,0.000113
"7",0.42,-111.99,0.3879,3.65e-05,-81.94,0.3449,5.08e-06,-41.89,0.3991,0.000115
"8",0.565,-111.99,0.3879,3.21e-05,-81.94,0.3449,5.06e-06,-41.89,0.3991,0.000117
"9",0.7825,-111.99,0.3879,2.63e-05,-81.94,0.3449,5.09e-06,-41.88,0.3991,0.00012
"10",1,-111.98,0.3879,2.2e-05,-81.94,0.3449,5.09e-06,-41.88,0.3991,0.000123
"11",1.25,-111.98,0.3879,1.76e-05,-81.94,0.3449,5.08e-06,-41.88,0.3991,0.000119
"12",1.625,-111.98,0.3879,1.37e-05,-81.94,0.3449,5.11e-06,-41.88,0.3991,0.000104
"13",2,-111.98,0.3879,1.06e-05,-81.94,0.3449,5.07e-06,-41.88,0.3991,8.14e-05
"14",2.5,-111.98,0.3879,8.13e-06,-81.94,0.3449,5.1e-06,-41.89,0.3991,2.46e-05
"15",3,-111.98,0.3879,6.43e-06,-81.94,0.3449,5.11e-06,-41.89,0.3991,-3.45e-05
"16",3.5,-111.98,0.3879,5.31e-06,-81.94,0.3449,5.14e-06,-41.9,0.3991,-8.57e-05
"17",4,-111.98,0.3879,4.59e-06,-81.94,0.3449,5.18e-06,-41.91,0.3991,-0.000125
"18",5,-111.98,0.3879,3.81e-06,-81.94,0.3449,5.32e-06,-41.93,0.399,-0.000163
"19",6,-111.98,0.3879,3.28e-06,-81.94,0.3449,5.43e-06,-41.94,0.399,-2e-04
"20",7,-111.98,0.3879,2.82e-06,-81.94,0.3449,5.54e-06,-41.96,0.399,-0.000199
"211",8,-111.98,0.3879,2.69e-06,-81.94,0.3449,5.64e-06,-41.96,0.399,-0.000113
"22",9,-112.62,0.3876,0.0027,-81.94,0.3449,5.68e-06,-41.97,0.399,-0.000194
"23",10,-113.9,0.3868,0.00671,-81.94,0.3449,5.77e-06,-42,0.399,-0.000291
"24",11,-115.29,0.3858,0.00904,-81.94,0.3449,5.96e-06,-42.05,0.399,-0.000553
"25",12,-117.44,0.3845,0.0132,-81.94,0.3449,6.58e-06,-42.11,0.3989,-0.000763
"26",13,-119.6,0.3831,0.0155,-81.94,0.3449,7.9e-06,-42.19,0.3989,-0.000967
"27",14,-121.89,0.3818,0.0169,-81.95,0.3449,1.04e-05,-42.26,0.3988,-0.0011
"28",15,-124.13,0.3807,0.0176,-81.95,0.3449,1.45e-05,-42.33,0.3988,-0.00118
"29",16,-125.66,0.3799,0.0154,-81.96,0.3449,2.08e-05,-42.4,0.3987,-0.00125
"30",17,-127.15,0.3792,0.0145,-81.97,0.3449,2.97e-05,-42.46,0.3987,-0.00126
"31",18,-127.75,0.3789,0.0113,-81.98,0.3449,4.14e-05,-42.51,0.3986,-0.00119
"32",19,-127.63,0.3789,0.00733,-82,0.3448,5.62e-05,-42.55,0.3986,-0.00115
"33",20,-127.32,0.3791,0.00484,-82.03,0.3448,7.41e-05,-42.59,0.3986,-0.00111
"34",21,-126.94,0.3793,0.00323,-82.06,0.3448,9.51e-05,-42.63,0.3985,-0.00107
"35",22,-126.6,0.3795,0.00239,-82.09,0.3448,0.000119,-42.67,0.3985,-0.0011
"36",23,-126.29,0.3796,0.00189,-82.13,0.3447,0.000144,-42.72,0.3985,-0.00112
"37",24,-126.02,0.3798,0.00159,-82.18,0.3447,0.000171,-42.77,0.3984,-0.0012
"38",25,-125.76,0.3799,0.00139,-82.23,0.3446,0.000199,-42.82,0.3984,-0.0012
"39",26,-125.53,0.38,0.00126,-82.29,0.3446,0.000228,-42.87,0.3984,-0.00125
"40",27,-125.31,0.3801,0.00115,-82.35,0.3445,0.000256,-42.92,0.3983,-0.00124
"41",28,-125.11,0.3802,0.00107,-82.42,0.3445,0.000283,-42.97,0.3983,-0.00126
"42",29,-124.92,0.3803,0.000999,-82.49,0.3444,0.000309,-43.01,0.3983,-0.00122
"43",30,-124.73,0.3804,0.000941,-82.56,0.3443,0.000334,-43.06,0.3982,-0.00123
"44",31,-124.56,0.3805,0.000886,-82.63,0.3443,0.000358,-43.1,0.3982,-0.00119
"45",32,-124.4,0.3806,0.000832,-82.7,0.3442,0.000379,-43.13,0.3982,-0.00114
"46",33,-124.99,0.3803,0.00339,-82.78,0.3441,4e-04,-43.17,0.3981,-0.00115
"47",34,-126.33,0.3796,0.00714,-82.86,0.3441,0.000419,-43.22,0.3981,-0.00123
"48",35,-128.5,0.3786,0.0117,-82.93,0.344,0.000437,-43.29,0.3981,-0.00141
"49",36,-130.76,0.3774,0.0142,-83.01,0.3439,0.000453,-43.38,0.398,-0.0016
"50",37,-133.15,0.3762,0.0158,-83.09,0.3439,0.000469,-43.47,0.3979,-0.00177
"51",38,-135.5,0.3751,0.0167,-83.16,0.3438,0.000483,-43.57,0.3979,-0.00188
"52",39,-137.89,0.3739,0.0172,-83.24,0.3437,0.000498,-43.65,0.3978,-0.00194
"53",40,-140.26,0.3727,0.0176,-83.32,0.3437,0.000514,-43.74,0.3977,-0.00194
"54",41,-141.89,0.3718,0.0158,-83.4,0.3436,0.00053,-43.81,0.3977,-0.00192
"55",42,-142.69,0.3714,0.0128,-83.49,0.3435,0.000547,-43.89,0.3976,-0.00192
"56",43,-142.48,0.3715,0.00861,-83.57,0.3434,0.000565,-43.96,0.3976,-0.00192
"57",44,-142.11,0.3718,0.00605,-83.66,0.3434,0.000585,-44.03,0.3975,-0.00192
"58",45,-141.58,0.372,0.0043,-83.75,0.3433,0.000607,-44.11,0.3975,-0.0019
"59",46,-141.1,0.3723,0.00335,-83.85,0.3432,0.00063,-44.17,0.3974,-0.00187
"60",47,-140.64,0.3725,0.00277,-83.95,0.3431,0.000654,-44.24,0.3974,-0.00184
"61",48,-140.23,0.3727,0.00241,-84.05,0.343,0.000679,-44.3,0.3973,-0.00183
"62",49,-139.84,0.3729,0.00216,-84.16,0.3429,0.000704,-44.37,0.3973,-0.00182
"63",50,-139.48,0.3731,0.00198,-84.26,0.3428,0.00073,-44.44,0.3972,-0.00182
"64",51,-139.13,0.3733,0.00184,-84.38,0.3427,0.000757,-44.5,0.3972,-0.00181
"65",52,-138.8,0.3734,0.00173,-84.49,0.3426,0.000783,-44.56,0.3971,-0.00178
"66",53,-138.49,0.3736,0.00164,-84.61,0.3425,0.000808,-44.63,0.3971,-0.00179
"67",54,-138.19,0.3737,0.00156,-84.73,0.3424,0.000831,-44.69,0.397,-0.00179
"68",55,-137.91,0.3739,0.00149,-84.85,0.3423,0.000854,-44.75,0.397,-0.00175
"69",56,-137.63,0.374,0.00142,-84.97,0.3422,0.000874,-44.81,0.397,-0.00171
"70",57,-138.1,0.3738,0.00355,-85.09,0.3421,0.000894,-44.87,0.3969,-0.00167
"71",58,-139.33,0.3732,0.00684,-85.21,0.342,0.000911,-44.93,0.3969,-0.00166
"72",59,-141.54,0.3721,0.0112,-85.33,0.3418,0.000927,-45,0.3968,-0.00176
"73",60,-143.95,0.3709,0.014,-85.46,0.3417,0.000942,-45.08,0.3968,-0.00182
"74",61,-147.35,0.3692,0.018,-85.58,0.3416,0.000956,-45.17,0.3967,-0.00197
"75",62,-150.84,0.3674,0.0204,-85.7,0.3415,0.000969,-45.26,0.3966,-0.002
"76",63,-153.8,0.3662,0.0201,-85.81,0.3414,0.000981,-45.34,0.3966,-0.00201
"77",64,-156.64,0.3651,0.0199,-85.93,0.3413,0.000993,-45.41,0.3965,-0.00194
"78",65,-158.48,0.3644,0.0175,-86.05,0.3412,0.00101,-45.48,0.3965,-0.00187
"79",66,-159.38,0.364,0.0143,-86.17,0.3411,0.00102,-45.54,0.3964,-0.00179
"80",67,-159.09,0.3641,0.0101,-86.29,0.341,0.00103,-45.59,0.3964,-0.0017
"81",68,-158.51,0.3644,0.00726,-86.42,0.3409,0.00105,-45.63,0.3964,-0.00153
"82",69,-157.77,0.3647,0.00523,-86.54,0.3408,0.00107,-45.65,0.3963,-0.00133
"83",70,-157.06,0.3649,0.00404,-86.67,0.3407,0.00109,-45.67,0.3963,-0.00117
"84",71,-156.41,0.3652,0.00326,-86.8,0.3405,0.00111,-45.69,0.3963,-0.00104
"85",72,-155.81,0.3654,0.00278,-86.93,0.3404,0.00113,-45.69,0.3963,-0.000846
"86",73,-155.25,0.3656,0.00246,-87.06,0.3403,0.00115,-45.68,0.3963,-0.000661
"87",73.024,-155.23,0.3656,0.00243,-87.07,0.3403,0.00115,-45.68,0.3963,-0.000655
"88",73.0552,-155.21,0.3656,0.00242,-87.07,0.3403,0.00115,-45.68,0.3963,-0.000649
"89",73.0958,-155.19,0.3656,0.00238,-87.08,0.3403,0.00115,-45.68,0.3963,-0.000641
"90",73.1485,-155.15,0.3657,0.0023,-87.08,0.3403,0.00116,-45.68,0.3963,-0.00063
"91",73.217,-155.1,0.3657,0.00214,-87.09,0.3403,0.00116,-45.68,0.3963,-0.000616
"92",73.304,-155.01,0.3657,0.00189,-87.1,0.3403,0.00116,-45.68,0.3963,-0.000596
"93",73.42,-154.87,0.3658,0.0015,-87.12,0.3402,0.00116,-45.67,0.3963,-0.000568
"94",73.565,-154.67,0.3658,0.00101,-87.14,0.3402,0.00117,-45.67,0.3963,-0.00053
"95",73.7825,-154.33,0.366,0.000316,-87.17,0.3402,0.00117,-45.67,0.3963,-0.00047
"96",74,-153.97,0.3661,-0.000317,-87.2,0.3402,0.00118,-45.66,0.3963,-0.000409
"97",74.024,-153.93,0.3661,-0.000415,-87.2,0.3402,0.00118,-45.66,0.3963,-0.000402
"98",74.0552,-153.88,0.3661,-0.000548,-87.21,0.3402,0.00118,-45.66,0.3963,-0.000393
"99",74.0958,-153.81,0.3662,-0.000792,-87.21,0.3402,0.00118,-45.66,0.3963,-0.000382
"100",74.1485,-153.69,0.3662,-0.00124,-87.22,0.3402,0.00118,-45.66,0.3963,-0.000366
"101",74.217,-153.5,0.3663,-0.00205,-87.23,0.3401,0.00118,-45.65,0.3963,-0.000347
"102",74.304,-153.18,0.3664,-0.0033,-87.24,0.3401,0.00118,-45.65,0.3963,-0.000322
"103",74.42,-152.67,0.3666,-0.00514,-87.26,0.3401,0.00119,-45.65,0.3964,-0.000288
"104",74.565,-151.93,0.3669,-0.00739,-87.28,0.3401,0.00119,-45.64,0.3964,-0.000244
"105",74.7825,-150.87,0.3674,-0.00998,-87.31,0.3401,0.00119,-45.63,0.3964,-0.000176
"106",75,-149.73,0.368,-0.0123,-87.34,0.34,0.0012,-45.62,0.3964,-0.000111
"107",75.25,-148.78,0.3685,-0.0123,-87.37,0.34,0.00121,-45.61,0.3964,-4.18e-05
"108",75.625,-147.88,0.3689,-0.0107,-87.42,0.34,0.00121,-45.59,0.3964,4.45e-05
"109",76,-147.41,0.3692,-0.00827,-87.48,0.3399,0.00122,-45.57,0.3964,0.000116
"110",76.5,-147.12,0.3693,-0.00565,-87.55,0.3399,0.00123,-45.55,0.3964,0.000245
"111",77,-146.97,0.3694,-0.0036,-87.62,0.3398,0.00125,-45.52,0.3964,0.000382
"112",77.024,-146.95,0.3694,-0.00344,-87.62,0.3398,0.00125,-45.51,0.3964,0.000388
"113",77.0552,-146.94,0.3694,-0.00336,-87.63,0.3398,0.00125,-45.51,0.3964,0.000397
"114",77.0958,-146.93,0.3694,-0.0033,-87.63,0.3398,0.00125,-45.51,0.3965,0.000409
"115",77.1485,-146.89,0.3694,-0.00336,-87.64,0.3398,0.00125,-45.51,0.3965,0.000424
"116",77.217,-146.83,0.3694,-0.00363,-87.65,0.3398,0.00125,-45.5,0.3965,0.000445
"117",77.304,-146.69,0.3695,-0.00422,-87.66,0.3398,0.00125,-45.49,0.3965,0.000474
"118",77.42,-146.44,0.3696,-0.00524,-87.68,0.3397,0.00126,-45.49,0.3965,0.000513
"119",77.565,-146.02,0.3698,-0.00668,-87.7,0.3397,0.00126,-45.47,0.3965,0.000568
"120",77.7825,-145.26,0.3702,-0.0088,-87.73,0.3397,0.00126,-45.46,0.3965,0.000654
"121",78,-144.42,0.3706,-0.0108,-87.76,0.3397,0.00127,-45.44,0.3965,0.000738
"122",78.024,-144.33,0.3707,-0.011,-87.76,0.3397,0.00127,-45.43,0.3965,0.000748
"123",78.0552,-144.2,0.3707,-0.0113,-87.77,0.3397,0.00127,-45.43,0.3965,0.00076
"124",78.0958,-144.03,0.3708,-0.0118,-87.77,0.3397,0.00127,-45.43,0.3965,0.000776
"125",78.1485,-143.78,0.3709,-0.0127,-87.78,0.3396,0.00127,-45.42,0.3965,0.000796
"126",78.217,-143.41,0.3711,-0.014,-87.79,0.3396,0.00127,-45.42,0.3965,0.000823
"127",78.304,-142.85,0.3714,-0.0161,-87.8,0.3396,0.00128,-45.41,0.3965,0.000856
"128",78.42,-141.99,0.3718,-0.0191,-87.82,0.3396,0.00128,-45.4,0.3965,0.000901
"129",78.565,-140.78,0.3724,-0.0229,-87.84,0.3396,0.00128,-45.38,0.3965,0.000956
"130",78.7825,-138.79,0.3734,-0.028,-87.87,0.3396,0.00129,-45.36,0.3966,0.00104
"131",79,-136.74,0.3744,-0.0325,-87.9,0.3395,0.00129,-45.33,0.3966,0.00111
"132",79.25,-135.27,0.3752,-0.0304,-87.94,0.3395,0.0013,-45.31,0.3966,0.0012
"133",79.625,-134.27,0.3757,-0.0243,-87.99,0.3395,0.0013,-45.26,0.3966,0.00131
"134",80,-133.93,0.3759,-0.018,-88.04,0.3394,0.00131,-45.22,0.3967,0.00142
"135",80.024,-133.85,0.3759,-0.0176,-88.05,0.3394,0.00131,-45.22,0.3967,0.00142
"136",80.0552,-133.84,0.3759,-0.0174,-88.05,0.3394,0.00131,-45.21,0.3967,0.00143
"137",80.0958,-133.74,0.3759,-0.0179,-88.06,0.3394,0.00131,-45.21,0.3967,0.00144
"138",80.1485,-133.52,0.376,-0.0198,-88.06,0.3394,0.00132,-45.2,0.3967,0.00146
"139",80.217,-132.98,0.3763,-0.0241,-88.07,0.3394,0.00132,-45.2,0.3967,0.00148
"140",80.304,-131.9,0.3768,-0.0316,-88.09,0.3394,0.00132,-45.19,0.3967,0.0015
"141",80.42,-129.91,0.3778,-0.0427,-88.1,0.3394,0.00132,-45.17,0.3967,0.00153
"142",80.565,-126.9,0.3793,-0.0565,-88.12,0.3393,0.00132,-45.16,0.3967,0.00156
"143",80.7825,-121.9,0.3818,-0.0739,-88.15,0.3393,0.00133,-45.13,0.3967,0.00162
"144",81,-117.06,0.3847,-0.0898,-88.18,0.3393,0.00133,-45.11,0.3967,0.00167
"145",81.25,-114.22,0.3865,-0.0828,-88.22,0.3393,0.00134,-45.08,0.3968,0.00171
"146",81.5,-113.48,0.3871,-0.0668,-88.25,0.3392,0.00134,-45.05,0.3968,0.00174
"147",81.75,-113.3,0.3871,-0.0517,-88.29,0.3392,0.00135,-45.02,0.3968,0.00177
"148",82,-113.63,0.3869,-0.0394,-88.32,0.3392,0.00135,-45,0.3968,0.00178
"149",82.5,-114.74,0.3862,-0.0231,-88.39,0.3391,0.00136,-44.95,0.3969,0.0018
"150",83,-115.92,0.3854,-0.0119,-88.46,0.339,0.00136,-44.91,0.3969,0.00183
"151",83.5,-117.13,0.3846,-0.00458,-88.53,0.339,0.00137,-44.86,0.3969,0.00186
"152",84,-118.3,0.3839,0.00029,-88.59,0.3389,0.00138,-44.82,0.397,0.00188
"153",85,-120.48,0.3825,0.00514,-88.71,0.3388,0.00138,-44.75,0.397,0.00179
"154",86,-122.55,0.3815,0.0078,-88.83,0.3387,0.00138,-44.72,0.397,0.00156
"155",87,-124.49,0.3805,0.00907,-88.94,0.3386,0.00138,-44.71,0.397,0.00131
"156",88,-126.34,0.3796,0.00986,-89.03,0.3385,0.00137,-44.72,0.397,0.00102
"157",89,-127.39,0.379,0.00794,-89.12,0.3384,0.00136,-44.74,0.397,0.000812
"158",90,-128.39,0.3786,0.0071,-89.19,0.3384,0.00134,-44.78,0.397,0.000569
"159",91,-128.46,0.3785,0.00396,-89.26,0.3383,0.00132,-44.82,0.3969,0.000354
"160",92,-128.52,0.3785,0.00249,-89.31,0.3383,0.0013,-44.86,0.3969,0.000269
"161",93,-128.41,0.3786,0.00134,-89.36,0.3382,0.00127,-44.91,0.3969,0.000139
"162",93.024,-128.42,0.3786,0.00128,-89.36,0.3382,0.00127,-44.91,0.3969,0.000142
"163",93.0552,-128.41,0.3786,0.00119,-89.36,0.3382,0.00127,-44.91,0.3969,0.000137
"164",93.0958,-128.4,0.3786,0.000975,-89.37,0.3382,0.00127,-44.91,0.3969,0.000134
"165",93.1485,-128.36,0.3786,0.000502,-89.37,0.3382,0.00127,-44.92,0.3969,0.000128
"166",93.217,-128.27,0.3786,-0.000368,-89.37,0.3382,0.00127,-44.92,0.3969,0.000121
"167",93.304,-128.1,0.3787,-0.00171,-89.37,0.3382,0.00127,-44.92,0.3969,0.00011
"168",93.42,-127.8,0.3789,-0.00364,-89.38,0.3382,0.00126,-44.93,0.3969,9.34e-05
"169",93.565,-127.33,0.3791,-0.00597,-89.39,0.3382,0.00126,-44.94,0.3969,6.88e-05
"170",93.7825,-126.53,0.3795,-0.009,-89.39,0.3382,0.00125,-44.95,0.3969,2.6e-05
"171",94,-125.69,0.3799,-0.0116,-89.4,0.3382,0.00125,-44.96,0.3968,-1.86e-05
"172",94.024,-125.6,0.38,-0.0119,-89.4,0.3382,0.00125,-44.96,0.3968,-2.35e-05
"173",94.0552,-125.47,0.38,-0.0123,-89.4,0.3382,0.00125,-44.97,0.3968,-3e-05
"174",94.0958,-125.3,0.3801,-0.0129,-89.41,0.3382,0.00125,-44.97,0.3968,-3.88e-05
"175",94.1485,-125.07,0.3802,-0.0137,-89.41,0.3382,0.00125,-44.97,0.3968,-4.94e-05
"176",94.217,-124.75,0.3804,-0.0149,-89.41,0.3382,0.00124,-44.98,0.3968,-6.31e-05
"177",94.304,-124.3,0.3806,-0.0164,-89.41,0.3382,0.00124,-44.98,0.3968,-7.87e-05
"178",94.42,-123.68,0.3809,-0.0184,-89.42,0.3382,0.00124,-44.99,0.3968,-9.6e-05
