"","time (hours)","N1 matric potential (hPa)","N1 theta (m³/m³)","N1 flux (cm/h)","N2 matric potential (hPa)","N2 theta (m³/m³)","N2 flux (cm/h)","N3 matric potential (hPa)","N3 theta (m³/m³)","N3 flux (cm/h)"
"2",0.024,-154.73,0.3814,0.00152,-117.94,0.2968,0.00295,-68.88,0.3283,0.0095
"21",0.0552,-154.73,0.3815,0.00152,-117.94,0.2968,0.00296,-68.87,0.3283,0.0095
"3",0.0958,-154.73,0.3815,0.00152,-117.93,0.2968,0.00296,-68.86,0.3283,0.00951
"4",0.1485,-154.73,0.3815,0.00152,-117.93,0.2968,0.00296,-68.85,0.3283,0.00953
"5",0.217,-154.72,0.3815,0.00152,-117.92,0.2968,0.00297,-68.83,0.3284,0.00956
"6",0.304,-154.72,0.3815,0.00151,-117.91,0.2968,0.00297,-68.8,0.3284,0.0096
"7",0.42,-154.71,0.3815,0.00151,-117.9,0.2968,0.00298,-68.77,0.3285,0.00966
"8",0.565,-154.69,0.3815,0.00149,-117.88,0.2968,0.00299,-68.73,0.3285,0.00975
"9",0.7825,-154.66,0.3815,0.00146,-117.86,0.2968,0.003,-68.66,0.3286,0.00991
"10",1,-154.63,0.3815,0.00143,-117.83,0.2968,0.00301,-68.59,0.3287,0.0101
"11",1.25,-154.59,0.3815,0.00139,-117.81,0.2968,0.00302,-68.5,0.3288,0.0103
"12",1.625,-154.51,0.3815,0.00133,-117.76,0.2969,0.00303,-68.35,0.3291,0.0108
"13",2,-154.43,0.3816,0.00127,-117.72,0.2969,0.00304,-68.2,0.3293,0.0113
"14",2.5,-154.32,0.3816,0.00121,-117.67,0.2969,0.00305,-67.96,0.3296,0.0121
"15",3,-154.21,0.3817,0.00115,-117.62,0.297,0.00306,-67.7,0.33,0.0129
"16",3.5,-154.1,0.3817,0.0011,-117.56,0.297,0.00307,-67.41,0.3304,0.0137
"17",4,-153.99,0.3817,0.00106,-117.51,0.297,0.00308,-67.12,0.3309,0.0145
"18",5,-153.77,0.3818,0.000997,-117.39,0.2971,0.00311,-66.48,0.3318,0.016
"19",6,-153.55,0.3819,0.000944,-117.27,0.2972,0.00314,-65.82,0.3328,0.0174
"20",7,-153.34,0.382,0.000901,-117.14,0.2973,0.00319,-65.15,0.3337,0.0185
"211",8,-153.37,0.382,0.00126,-117,0.2974,0.00324,-64.49,0.3347,0.0195
"22",9,-153.94,0.3818,0.00236,-116.85,0.2975,0.0033,-63.85,0.3356,0.0204
"23",10,-155.13,0.3813,0.00403,-116.69,0.2976,0.00339,-63.23,0.3365,0.021
"24",11,-156.92,0.3806,0.00599,-116.51,0.2977,0.0035,-62.64,0.3374,0.0214
"25",12,-159.18,0.3798,0.00803,-116.34,0.2978,0.00363,-62.09,0.3382,0.0216
"26",13,-161.75,0.3788,0.00991,-116.16,0.2979,0.0038,-61.57,0.339,0.0217
"27",14,-164.47,0.3777,0.0115,-115.98,0.298,0.00402,-61.08,0.3397,0.0217
"28",15,-167.1,0.3767,0.0127,-115.81,0.2981,0.00426,-60.63,0.3403,0.0217
"29",16,-169.52,0.3758,0.0134,-115.66,0.2982,0.00455,-60.2,0.341,0.0216
"30",17,-171.5,0.375,0.0135,-115.51,0.2983,0.00487,-59.79,0.3416,0.0215
"31",18,-172.87,0.3745,0.013,-115.38,0.2984,0.00521,-59.4,0.3422,0.0214
"32",19,-173.47,0.3742,0.012,-115.27,0.2985,0.00556,-59.03,0.3427,0.0213
"33",20,-173.38,0.3743,0.0106,-115.16,0.2986,0.00592,-58.67,0.3433,0.0212
"34",21,-172.84,0.3745,0.00921,-115.06,0.2986,0.00627,-58.33,0.3438,0.0211
"35",22,-172.05,0.3748,0.00804,-114.96,0.2987,0.0066,-58,0.3443,0.0209
"36",23,-171.14,0.3752,0.00708,-114.85,0.2988,0.00691,-57.69,0.3448,0.0207
"37",24,-170.2,0.3755,0.00631,-114.75,0.2988,0.00719,-57.39,0.3452,0.0205
"38",25,-169.25,0.3759,0.00568,-114.63,0.2989,0.00744,-57.12,0.3456,0.0203
"39",26,-168.33,0.3762,0.00516,-114.5,0.299,0.00767,-56.86,0.346,0.0201
"40",27,-167.44,0.3766,0.00473,-114.35,0.2991,0.00786,-56.61,0.3464,0.0199
"41",28,-166.58,0.3769,0.00437,-114.19,0.2992,0.00803,-56.37,0.3467,0.0196
"42",29,-165.76,0.3772,0.00406,-114.02,0.2993,0.00817,-56.14,0.3471,0.0194
"43",30,-164.96,0.3775,0.00379,-113.84,0.2994,0.00829,-55.93,0.3474,0.0192
"44",31,-164.2,0.3778,0.00357,-113.64,0.2995,0.00839,-55.72,0.3477,0.0191
"45",32,-163.7,0.378,0.00373,-113.43,0.2997,0.00848,-55.52,0.348,0.0189
"46",33,-163.76,0.378,0.00459,-113.21,0.2998,0.00855,-55.33,0.3483,0.0187
"47",34,-164.49,0.3777,0.00604,-112.98,0.3,0.00861,-55.15,0.3486,0.0185
"48",35,-165.89,0.3772,0.00787,-112.75,0.3001,0.00866,-54.99,0.3488,0.0182
"49",36,-167.86,0.3764,0.00987,-112.51,0.3003,0.00873,-54.85,0.349,0.0178
"50",37,-170.22,0.3755,0.0118,-112.29,0.3004,0.00881,-54.73,0.3492,0.0174
"51",38,-172.76,0.3746,0.0134,-112.07,0.3006,0.0089,-54.62,0.3494,0.017
"52",39,-175.28,0.3736,0.0146,-111.87,0.3007,0.00902,-54.52,0.3495,0.0167
"53",40,-177.61,0.3727,0.0154,-111.68,0.3008,0.00917,-54.43,0.3497,0.0164
"54",41,-179.5,0.372,0.0155,-111.52,0.3009,0.00933,-54.34,0.3498,0.0161
"55",42,-180.78,0.3715,0.0151,-111.38,0.301,0.00951,-54.25,0.35,0.0159
"56",43,-181.26,0.3713,0.0141,-111.27,0.3011,0.0097,-54.16,0.3501,0.0157
"57",44,-180.99,0.3714,0.0127,-111.17,0.3011,0.00989,-54.08,0.3502,0.0155
"58",45,-180.17,0.3717,0.0113,-111.09,0.3012,0.0101,-54.01,0.3503,0.0153
"59",46,-179.04,0.3721,0.01,-111.03,0.3012,0.0103,-53.93,0.3504,0.0151
"60",47,-177.76,0.3726,0.00895,-110.96,0.3013,0.0104,-53.86,0.3505,0.0149
"61",48,-176.43,0.3731,0.00808,-110.9,0.3013,0.0105,-53.79,0.3506,0.0148
"62",49,-175.12,0.3736,0.00737,-110.84,0.3014,0.0106,-53.73,0.3507,0.0146
